Sigma	Quantification Error	Local Roughness
0.1	0.01141447846421632	0.7716564624159343
0.2	0.011828388679533968	0.7712613406722492
0.30000000000000004	0.0114731469215919	0.5151889550720927
0.4	0.0056945799833523995	0.201400173422259
0.5	0.005417817451737733	0.08343448642728611
0.6	0.00543347047939589	0.074195532045246
0.7000000000000001	0.0058371320491678496	0.053340924306077016
0.8	0.006326735886701488	0.06132847678311231
0.9	0.008661483626306985	0.05769830270486589
1.0	0.008606428060477692	0.05400167492071741
1.1	0.008740257153054059	0.03621297685871377
1.2000000000000002	0.010923585799158551	0.032507688682384836
1.3000000000000003	0.01148469454180404	0.032008249750624586
1.4000000000000001	0.015575315518164165	0.027741387707243586
1.5000000000000002	0.015426290878296839	0.02790090552482586
1.6	0.014877327663556367	0.02855142685614544
1.7000000000000002	0.018052877165597014	0.026589853305875235
1.8000000000000003	0.019068329807583464	0.025919154978347996
1.9000000000000001	0.02275078144512158	0.025026198080198993
2.0	0.024982537396988434	0.02184564442213617
2.1	0.029565662325066314	0.021102297582423386
2.2	0.03893703524934408	0.019527831043906048
2.3000000000000003	0.03733526303398888	0.01912781167106352
2.4000000000000004	0.040578544454694	0.021012582961442695
2.5000000000000004	0.04872181832240206	0.016655199343996913
2.6	0.046961655802667396	0.017465615524991717
2.7	0.054452429021762686	0.015100537422592826
2.8000000000000003	0.051014519867665524	0.016036365602784805
2.9000000000000004	0.07014468078721536	0.014205288759135275
3.0000000000000004	0.06204081712540233	0.016801712740538606
3.1	0.05411555167300967	0.01614128385077385
3.2	0.06298652303562804	0.015147149317362135
3.3000000000000003	0.07298259377588982	0.013614448922576737
3.4000000000000004	0.07232579323663747	0.013077083787520621
3.5000000000000004	0.06806721605616443	0.014470905927451903
3.6	0.08661103410190608	0.011885419221155385
3.7	0.087356407307996	0.010556004553006738
3.8000000000000003	0.10360314267208966	0.010245256675259015
3.9000000000000004	0.10191702142103297	0.009423974332246645
4.0	0.09950809242777167	0.009685934611439462
4.1	0.10482950655515033	0.009608159429705002
4.2	0.1149138500212436	0.008487193157718223
4.3	0.10740264169303072	0.009378943996404163
4.3999999999999995	0.105172521684432	0.009823014555729545
4.5	0.11498025740548146	0.008686225618612809
4.6	0.1200500036459457	0.008286104588147067
4.7	0.13620998555483632	0.007029954432081498
4.8	0.131438381088648	0.007225305051454473
4.9	0.14263507471371312	0.006639599099510557
5.0	0.13236520864033974	0.006992111080279421
5.1	0.15514870196837685	0.005618483158965596
5.2	0.14623978153256473	0.005939680155092535
5.3	0.1432047414639273	0.006492304273171618
5.4	0.16602084440321516	0.005307467451667232
5.5	0.1415842490112797	0.0063666014303875315
5.6	0.15558154165197025	0.005606074196328571
5.7	0.14831690690934457	0.005915541960213806
5.8	0.14982158440877255	0.005793236485376789
5.9	0.15882287201097323	0.005294440364731761
6.0	0.1767785490788368	0.004346957155685611
6.1	0.17521125512586033	0.004361163049100195
6.2	0.17170386334853216	0.0045897049751398656
6.3	0.167879352138794	0.0046418302770387665
6.4	0.196897476910526	0.003642412419787649
6.5	0.1777344356754331	0.0042973123831097195
6.6	0.1798995589869431	0.004367759706922548
6.7	0.19643938680648576	0.0036507166131844538
6.8	0.21302643088605275	0.00331289933304849
6.9	0.21685078764049365	0.0029346804387187855
7.0	0.20680906008423125	0.0033695489448739625
7.1	0.2064239604556906	0.003257209082662952
7.2	0.2225149108048392	0.002794644553331335
7.3	0.25259971254965424	0.0024333383550967204
7.4	0.2171364245491342	0.003081109458020459
7.5	0.2878649498276034	0.0020369078154994294
7.6	0.22915288970615555	0.0026565402841689997
7.7	0.2814437783214733	0.0019704418874353846
7.8	0.2438545234972384	0.002297799561068004
7.9	0.2575835418003507	0.002170704796147981
8.0	0.25957787074351546	0.002422539912885109
8.1	0.2828300582635448	0.0017418730414197365
8.2	0.2698271631387251	0.002014672072314213
8.3	0.2685755589244392	0.002158382536026501
8.4	0.27586157654146576	0.0018751410245507697
8.5	0.27985554893953674	0.0016785640752410849
8.6	0.3159082780093878	0.0014030972651915246
8.7	0.26589115525096124	0.0018659840200157367
8.8	0.314373328332138	0.001319188605635683
8.9	0.36493072157808837	0.0010327813050221091
9.0	0.31787468426073917	0.0012776352501564345
9.1	0.3026120725360462	0.0014332426833030558
9.2	0.315782587871905	0.001308785148324661
9.3	0.3427609001225079	0.0011936357461640244
9.4	0.3172715951753243	0.0012474793396675583
9.5	0.347045369703323	0.0011945333362175998
9.6	0.3454077444066852	0.0010319040640979547
9.700000000000001	0.3096337704149444	0.001294446253708715
9.8	0.3630231473524998	0.0009353121633584173
9.9	0.39436211267718896	0.0009292246346642322
10.0	0.3345179053020447	0.0011527663631835062
